date,stocks,bonds,gold,futures
2001-01-02,-0.0158,0.0105,-0.0125,0.0332
2001-01-03,0.0214,-0.0091,-0.0024,-0.0284
2001-01-04,-0.0003,0.0054,-0.0031,0.0341
2001-01-05,-0.0128,0.0045,0.0024,0.0230
2001-01-08,-0.0037,0.0016,0.0004,-0.0023
2001-01-09,-0.0054,-0.0028,-0.0017,-0.0068
2001-01-10,0.0018,-0.0045,-0.0106,-0.0228
2001-01-11,0.0090,-0.0028,-0.0029,0.0165
2001-01-12,-0.0010,-0.0052,-0.0003,-0.0191
2001-01-16,0.0003,0.0019,-0.0020,-0.0132
2001-01-17,0.0058,0.0045,-0.0006,0.0036
2001-01-18,0.0117,0.0047,0.0043,0.0164
2001-01-19,-0.0033,-0.0045,0.0006,-0.0225
2001-01-22,0.0002,-0.0021,0.0086,-0.0031
2001-01-23,0.0068,-0.0031,-0.0009,-0.0027
2001-01-24,-0.0015,-0.0008,-0.0081,-0.0115
2001-01-25,-0.0020,0.0023,0.0009,-0.0036
2001-01-26,-0.0016,-0.0001,-0.0073,0.0103
2001-01-29,0.0037,-0.0008,0.0004,-0.0066
2001-01-30,0.0058,0.0049,0.0107,0.0030
2001-01-31,0.0006,0.0039,0.0001,0.0176
2001-02-01,0.0040,0.0050,0.0102,0.0068
2001-02-02,-0.0154,-0.0041,-0.0050,-0.0176
2001-02-05,0.0021,0.0011,-0.0067,0.0068
2001-02-06,-0.0020,-0.0020,-0.0073,-0.0103
2001-02-07,-0.0088,0.0006,-0.0018,0.0134
2001-02-08,-0.0092,-0.0002,-0.0100,-0.0101
2001-02-09,-0.0110,0.0036,-0.0006,0.0186
2001-02-12,0.0112,-0.0018,0.0031,-0.0004
2001-02-13,-0.0076,-0.0012,-0.0017,-0.0097
2001-02-14,-0.0060,-0.0018,-0.0037,-0.0127
2001-02-15,0.0041,-0.0037,-0.0163,-0.0251
2001-02-16,-0.0133,0.0041,0.0114,0.0152
2001-02-20,-0.0152,0.0009,-0.0079,-0.0009
2001-02-21,-0.0132,-0.0018,0.0071,0.0047
2001-02-22,-0.0034,0.0003,0.0017,-0.0047
2001-02-23,-0.0070,0.0035,0.0090,0.0053
2001-02-26,0.0135,0.0029,0.0183,0.0080
2001-02-27,-0.0009,0.0050,0.0061,0.0121
2001-02-28,-0.0095,0.0018,-0.0021,0.0106
2001-03-01,-0.0006,0.0029,-0.0059,0.0108
2001-03-02,-0.0061,-0.0054,-0.0115,0.0012
2001-03-05,0.0048,0.0002,0.0019,-0.0016
2001-03-06,0.0120,-0.0005,-0.0097,-0.0019
2001-03-07,0.0027,0.0040,0.0059,0.0117
2001-03-08,0.0008,0.0013,0.0142,0.0026
2001-03-09,-0.0166,-0.0017,0.0202,-0.0056
2001-03-12,-0.0358,0.0012,0.0038,0.0152
2001-03-13,-0.0020,-0.0009,-0.0168,-0.0027
2001-03-14,-0.0223,0.0047,-0.0169,0.0282
2001-03-15,0.0084,0.0019,-0.0097,0.0112
2001-03-16,-0.0229,0.0019,-0.0071,0.0128
2001-03-19,0.0085,-0.0024,0.0065,-0.0042
2001-03-20,-0.0069,0.0023,0.0032,-0.0090
2001-03-21,-0.0119,0.0008,0.0051,0.0175
2001-03-22,-0.0239,0.0032,-0.0029,0.0217
